Tournament,Stage,Match Type,Map,Agent,Pick Rate
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,All Maps,neon,80%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,All Maps,fade,70%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,All Maps,phoenix,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,All Maps,omen,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,All Maps,astra,40%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,All Maps,viper,40%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,All Maps,vyse,30%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,All Maps,sova,30%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,All Maps,jett,20%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,All Maps,harbor,20%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,All Maps,raze,20%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,All Maps,chamber,20%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,All Maps,kayo,10%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,All Maps,killjoy,10%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,All Maps,cypher,10%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,All Maps,tejo,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,All Maps,skye,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,All Maps,veto,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,All Maps,waylay,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,All Maps,miks,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,All Maps,sage,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,All Maps,reyna,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,All Maps,breach,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,All Maps,iso,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,All Maps,gekko,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,All Maps,deadlock,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,All Maps,clove,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,All Maps,brimstone,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,All Maps,yoru,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,neon,100%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,fade,75%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,phoenix,100%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,omen,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,astra,100%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,viper,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,vyse,25%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,sova,25%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,jett,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,harbor,0%
