Tournament,Stage,Match Type,Map,Total Maps Played,Attacker Side Win Percentage,Defender Side Win Percentage
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,All Maps,5,44%,56%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,2,39%,61%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,1,45%,55%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,1,48%,52%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,1,50%,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,All Maps,5,59%,41%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,1,55%,45%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,1,65%,35%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,1,47%,53%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,1,63%,38%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,1,61%,39%
VCT 2026: Americas Stage 1,Playoffs,Upper Final,All Maps,3,58%,42%
VCT 2026: Americas Stage 1,Playoffs,Upper Final,Ascent,1,65%,35%
VCT 2026: Americas Stage 1,Playoffs,Upper Final,Pearl,1,68%,32%
VCT 2026: Americas Stage 1,Playoffs,Upper Final,Split,1,39%,61%
VCT 2026: Americas Stage 1,Playoffs,Grand Final,All Maps,5,43%,57%
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Ascent,1,50%,50%
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Fracture,1,50%,50%
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Haven,1,46%,54%
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Pearl,1,30%,70%
VCT 2026: Americas Stage 1,Playoffs,Grand Final,Split,1,38%,63%
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,All Maps,4,51%,49%
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Haven,1,38%,62%
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Breeze,1,61%,39%
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Lotus,1,53%,47%
VCT 2026: Americas Stage 1,Playoffs,Lower Round 1,Split,1,53%,47%
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,All Maps,4,46%,54%
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Breeze,2,54%,46%
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Fracture,1,54%,46%
VCT 2026: Americas Stage 1,Playoffs,Lower Round 2,Haven,1,18%,82%
VCT 2026: Americas Stage 1,Playoffs,Lower Round 3,All Maps,2,48%,52%
VCT 2026: Americas Stage 1,Playoffs,Lower Round 3,Breeze,1,54%,46%
VCT 2026: Americas Stage 1,Playoffs,Lower Round 3,Fracture,1,41%,59%
VCT 2026: Americas Stage 1,Playoffs,Lower Final,All Maps,5,49%,51%
VCT 2026: Americas Stage 1,Playoffs,Lower Final,Ascent,1,35%,65%
VCT 2026: Americas Stage 1,Playoffs,Lower Final,Breeze,1,68%,32%
VCT 2026: Americas Stage 1,Playoffs,Lower Final,Haven,1,43%,57%
VCT 2026: Americas Stage 1,Playoffs,Lower Final,Lotus,1,57%,43%
VCT 2026: Americas Stage 1,Playoffs,Lower Final,Pearl,1,45%,55%
VCT 2026: Americas Stage 1,Group Stage,Week 1,All Maps,13,48%,52%
VCT 2026: Americas Stage 1,Group Stage,Week 1,Lotus,3,45%,55%
VCT 2026: Americas Stage 1,Group Stage,Week 1,Breeze,3,55%,45%
