Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Name,Match ID,Map,Game ID
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 1,Sentinels vs KRÜ Esports,645474,Lotus,258575
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 1,Sentinels vs KRÜ Esports,645474,Breeze,258576
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 1,G2 Esports vs MIBR,645475,Lotus,258578
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 1,G2 Esports vs MIBR,645475,Split,258579
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 1,100 Thieves vs Evil Geniuses,645476,Haven,258581
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 1,100 Thieves vs Evil Geniuses,645476,Breeze,258582
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 1,ENVY vs LOUD,645477,Lotus,258584
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 1,ENVY vs LOUD,645477,Pearl,258585
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 1,ENVY vs LOUD,645477,Breeze,258586
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 1,Cloud9 vs LEVIATÁN,645478,Pearl,258587
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 1,Cloud9 vs LEVIATÁN,645478,Haven,258588
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 1,FURIA vs NRG,645479,Pearl,258590
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 1,FURIA vs NRG,645479,Split,258591
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 2,Cloud9 vs ENVY,645480,Split,258593
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 2,Cloud9 vs ENVY,645480,Pearl,258594
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 2,Cloud9 vs ENVY,645480,Haven,258595
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 2,FURIA vs Evil Geniuses,645481,Haven,258596
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 2,FURIA vs Evil Geniuses,645481,Pearl,258597
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 2,FURIA vs Evil Geniuses,645481,Lotus,258598
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 2,G2 Esports vs LEVIATÁN,645482,Breeze,258599
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 2,G2 Esports vs LEVIATÁN,645482,Split,258600
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 2,G2 Esports vs LEVIATÁN,645482,Bind,258601
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 2,MIBR vs LOUD,645483,Haven,258602
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 2,MIBR vs LOUD,645483,Split,258603
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 2,NRG vs KRÜ Esports,645484,Lotus,258605
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 2,NRG vs KRÜ Esports,645484,Split,258606
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 2,100 Thieves vs Sentinels,645485,Haven,258608
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 2,100 Thieves vs Sentinels,645485,Split,258609
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 3,LEVIATÁN vs ENVY,645486,Bind,258611
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 3,LEVIATÁN vs ENVY,645486,Fracture,258612
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 3,G2 Esports vs LOUD,645487,Haven,258614
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 3,G2 Esports vs LOUD,645487,Pearl,258615
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 3,FURIA vs KRÜ Esports,645488,Lotus,258617
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 3,FURIA vs KRÜ Esports,645488,Haven,258618
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 3,NRG vs 100 Thieves,645489,Pearl,258620
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 3,NRG vs 100 Thieves,645489,Lotus,258621
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 3,NRG vs 100 Thieves,645489,Breeze,258622
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 3,Evil Geniuses vs Sentinels,645490,Haven,258623
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 3,Evil Geniuses vs Sentinels,645490,Bind,258624
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 3,MIBR vs Cloud9,645491,Breeze,258626
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 3,MIBR vs Cloud9,645491,Split,258627
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 4,Evil Geniuses vs NRG,645492,Fracture,258629
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 4,Evil Geniuses vs NRG,645492,Pearl,258630
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 4,LEVIATÁN vs MIBR,645493,Breeze,258632
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 4,LEVIATÁN vs MIBR,645493,Haven,258633
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 4,KRÜ Esports vs 100 Thieves,645494,Bind,258635
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 4,KRÜ Esports vs 100 Thieves,645494,Haven,258636
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 4,KRÜ Esports vs 100 Thieves,645494,Split,258637
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 4,FURIA vs Sentinels,645495,Split,258638
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 4,FURIA vs Sentinels,645495,Breeze,258639
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 4,FURIA vs Sentinels,645495,Haven,258640
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 4,LOUD vs Cloud9,645496,Lotus,258641
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 4,LOUD vs Cloud9,645496,Split,258642
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 4,LOUD vs Cloud9,645496,Breeze,258643
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 4,G2 Esports vs ENVY,645497,Haven,258644
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 4,G2 Esports vs ENVY,645497,Lotus,258645
