Tournament,Stage,Match Type,Match Name,Team,Action,Map
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,KRÜ Esports,ban,Fracture
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Sentinels,ban,Pearl
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,KRÜ Esports,pick,Lotus
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Sentinels,pick,Breeze
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,KRÜ Esports,ban,Haven
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Sentinels,ban,Split
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,G2 Esports,ban,Fracture
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,MIBR,ban,Haven
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,G2 Esports,pick,Lotus
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,MIBR,pick,Split
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,G2 Esports,ban,Breeze
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,MIBR,ban,Pearl
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Evil Geniuses,ban,Bind
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,100 Thieves,ban,Fracture
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Evil Geniuses,pick,Haven
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,100 Thieves,pick,Breeze
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Evil Geniuses,ban,Lotus
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,100 Thieves,ban,Pearl
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,ENVY,ban,Split
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,LOUD,ban,Fracture
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,ENVY,pick,Lotus
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,LOUD,pick,Pearl
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,ENVY,ban,Haven
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,LOUD,ban,Bind
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,Cloud9,ban,Fracture
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,LEVIATÁN,ban,Lotus
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,Cloud9,pick,Pearl
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,LEVIATÁN,pick,Haven
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,Cloud9,ban,Breeze
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,LEVIATÁN,ban,Bind
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,Mega Minors,ban,Haven
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,FURIA,ban,Bind
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,Mega Minors,pick,Pearl
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,FURIA,pick,Split
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,Mega Minors,ban,Breeze
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,FURIA,ban,Lotus
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Cloud9,ban,Fracture
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,ENVY,ban,Breeze
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Cloud9,pick,Split
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,ENVY,pick,Pearl
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Cloud9,ban,Lotus
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,ENVY,ban,Bind
VCT 2026: Americas Stage 1,Group Stage,Week 2,FURIA vs Evil Geniuses,FURIA,ban,Bind
