Tournament,Stage,Match Type,Match Name,Map,Round Number,Team,Loadout Value,Remaining Credits,Type,Outcome
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Lotus,1,Sentinels,,0.3k,Eco: 0-5k,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Lotus,1,KRÜ Esports,,0.3k,Eco: 0-5k,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Lotus,2,Sentinels,,3.7k,Semi-buy: 10-20k,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Lotus,2,KRÜ Esports,,9.6k,Eco: 0-5k,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Lotus,3,Sentinels,,9.7k,Semi-eco: 5-10k,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Lotus,3,KRÜ Esports,,12.0k,Full buy: 20k+,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Lotus,4,Sentinels,,2.7k,Full buy: 20k+,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Lotus,4,KRÜ Esports,,22.3k,Full buy: 20k+,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Lotus,5,Sentinels,,6.1k,Full buy: 20k+,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Lotus,5,KRÜ Esports,,12.7k,Full buy: 20k+,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Lotus,6,Sentinels,,8.2k,Semi-buy: 10-20k,Loss
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Lotus,6,KRÜ Esports,,17.4k,Full buy: 20k+,Win
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Lotus,7,Sentinels,,1.6k,Semi-buy: 10-20k,Loss
