Tournament,Stage,Match Type,Match Name,Map,Team,Type,Initiated,Won
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Lotus,Sentinels,Pistol Won,,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Lotus,Sentinels,Eco (won),3,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Lotus,Sentinels,$ (won),3,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Lotus,Sentinels,$$ (won),6,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Lotus,Sentinels,$$$ (won),9,6
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Lotus,KRÜ Esports,Pistol Won,,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Lotus,KRÜ Esports,Eco (won),3,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Lotus,KRÜ Esports,$ (won),0,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Lotus,KRÜ Esports,$$ (won),4,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Lotus,KRÜ Esports,$$$ (won),14,9
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,Sentinels,Pistol Won,,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,Sentinels,Eco (won),4,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,Sentinels,$ (won),1,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,Sentinels,$$ (won),4,3
