Tournament,Stage,Match Type,Match Name,Map,Team,Player,Agents,2k,3k,4k,5k,1v1,1v2,1v3,1v4,1v5,Econ,Spike Plants,Spike Defuses
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,All Maps,Sentinels,Victor,"neon, raze",7,,,,,,,,,47,1,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,All Maps,Sentinels,johnqt,"harbor, viper",6,2,1,,,,,,,59,4,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,All Maps,Sentinels,JonahP,"fade, sova",3,,,,,,,,,38,4,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,All Maps,Sentinels,cortezia,"veto, viper",4,,1,,2,,,,,44,4,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,All Maps,Sentinels,Reduxx,"iso, omen",3,,3,,1,,,,,54,1,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,All Maps,KRÜ Esports,saadhak,omen,5,4,,,,,,,,62,2,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,All Maps,KRÜ Esports,mwzera,"fade, sova",5,,,1,,,,,,62,9,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,All Maps,KRÜ Esports,Less,viper,5,4,1,,1,,,,,67,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,All Maps,KRÜ Esports,silentzz,"chamber, vyse",1,3,,1,1,1,,,,48,1,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,All Maps,KRÜ Esports,Dantedeu5,neon,4,5,1,,,,,,,49,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Lotus,Sentinels,Victor,raze,3,,,,,,,,,47,0,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Lotus,Sentinels,johnqt,viper,2,1,,,,,,,,43,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Lotus,Sentinels,JonahP,fade,1,,,,,,,,,33,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Lotus,Sentinels,cortezia,veto,2,,1,,,,,,,54,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Lotus,Sentinels,Reduxx,omen,1,,1,,,,,,,64,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Lotus,KRÜ Esports,saadhak,omen,,2,,,,,,,,57,2,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Lotus,KRÜ Esports,mwzera,fade,1,,,1,,,,,,57,4,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Lotus,KRÜ Esports,Less,viper,3,2,,,,,,,,81,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Lotus,KRÜ Esports,silentzz,vyse,1,1,,1,,,,,,53,0,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Lotus,KRÜ Esports,Dantedeu5,neon,2,3,,,,,,,,54,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,Sentinels,Victor,neon,4,,,,,,,,,46,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,Sentinels,johnqt,harbor,4,1,1,,,,,,,75,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,Sentinels,JonahP,sova,2,,,,,,,,,42,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,Sentinels,cortezia,viper,2,,,,2,,,,,33,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,Sentinels,Reduxx,iso,2,,2,,1,,,,,43,1,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,KRÜ Esports,saadhak,omen,5,2,,,,,,,,66,0,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,KRÜ Esports,mwzera,sova,4,,,,,,,,,67,5,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,KRÜ Esports,Less,viper,2,2,1,,1,,,,,53,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,KRÜ Esports,silentzz,chamber,,2,,,1,1,,,,43,1,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,KRÜ Esports,Dantedeu5,neon,2,2,1,,,,,,,43,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,All Maps,G2 Esports,BABYBAY,vyse,8,2,,,1,,,,,54,1,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,All Maps,G2 Esports,valyn,harbor,5,2,,,,,,,,56,2,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,All Maps,G2 Esports,jawgemo,neon,9,2,,,1,,,,,45,0,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,All Maps,G2 Esports,leaf,"astra, omen",6,,,,,,,,,40,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,All Maps,G2 Esports,trent,fade,7,,,,2,,,,,44,14,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,All Maps,MIBR,tex,vyse,8,2,2,,,,,,,52,0,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,All Maps,MIBR,zekken,neon,6,2,3,,,,,,,63,1,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,All Maps,MIBR,Mazino,"astra, omen",6,2,,,,,,,,43,5,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,All Maps,MIBR,aspas,raze,8,1,1,,,,,,,45,2,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,All Maps,MIBR,Verno,fade,8,2,,,,,,,,44,10,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,G2 Esports,BABYBAY,vyse,3,1,,,1,,,,,61,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,G2 Esports,valyn,harbor,2,1,,,,,,,,69,1,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,G2 Esports,jawgemo,neon,3,1,,,1,,,,,52,0,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,G2 Esports,leaf,omen,1,,,,,,,,,33,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,G2 Esports,trent,fade,4,,,,,,,,,50,7,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,MIBR,tex,vyse,5,,,,,,,,,53,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,MIBR,zekken,neon,4,2,2,,,,,,,90,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,MIBR,Mazino,omen,1,1,,,,,,,,45,3,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,MIBR,aspas,raze,5,,,,,,,,,44,1,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,MIBR,Verno,fade,3,,,,,,,,,44,5,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,G2 Esports,BABYBAY,vyse,5,1,,,,,,,,46,1,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,G2 Esports,valyn,harbor,3,1,,,,,,,,43,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,G2 Esports,jawgemo,neon,6,1,,,,,,,,38,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,G2 Esports,leaf,astra,5,,,,,,,,,47,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,G2 Esports,trent,fade,3,,,,2,,,,,38,7,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,MIBR,tex,vyse,3,2,2,,,,,,,50,0,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,MIBR,zekken,neon,2,,1,,,,,,,36,1,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,MIBR,Mazino,astra,5,1,,,,,,,,40,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,MIBR,aspas,raze,3,1,1,,,,,,,46,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,MIBR,Verno,fade,5,2,,,,,,,,43,5,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,All Maps,100 Thieves,Asuna,"kayo, neon",6,2,,,,,,,,61,5,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,All Maps,100 Thieves,bang,"harbor, omen",5,2,,,2,1,,,,60,4,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,All Maps,100 Thieves,Cryocells,"cypher, viper",3,5,1,,,,,,,71,0,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,All Maps,100 Thieves,vora,sova,4,,,,,,,,,46,9,3
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,All Maps,100 Thieves,Timotino,"jett, phoenix",12,,1,,,,,,,50,2,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,All Maps,Evil Geniuses,C0M,sova,4,,,,,1,,,,49,4,3
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,All Maps,Evil Geniuses,supamen,viper,7,,,,1,,,,,39,1,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,All Maps,Evil Geniuses,Okeanos,"kayo, omen",5,1,,,,,,,,48,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,All Maps,Evil Geniuses,dgzin,neon,8,,,,,2,,,,51,0,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,All Maps,Evil Geniuses,bao,"harbor, killjoy",3,1,,,,,,,,39,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,100 Thieves,Asuna,neon,1,2,,,,,,,,53,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,100 Thieves,bang,omen,4,1,,,1,1,,,,71,2,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,100 Thieves,Cryocells,cypher,2,2,1,,,,,,,54,0,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,100 Thieves,vora,sova,1,,,,,,,,,51,5,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,100 Thieves,Timotino,phoenix,6,,,,,,,,,40,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,Evil Geniuses,C0M,sova,1,,,,,,,,,51,4,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,Evil Geniuses,supamen,viper,6,,,,1,,,,,50,1,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,Evil Geniuses,Okeanos,omen,5,,,,,,,,,57,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,Evil Geniuses,dgzin,neon,3,,,,,1,,,,48,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,Evil Geniuses,bao,killjoy,2,1,,,,,,,,42,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Breeze,100 Thieves,Asuna,kayo,5,,,,,,,,,68,5,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Breeze,100 Thieves,bang,harbor,1,1,,,1,,,,,48,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Breeze,100 Thieves,Cryocells,viper,1,3,,,,,,,,87,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Breeze,100 Thieves,vora,sova,3,,,,,,,,,41,4,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Breeze,100 Thieves,Timotino,jett,6,,1,,,,,,,59,0,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Breeze,Evil Geniuses,C0M,sova,3,,,,,1,,,,47,0,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Breeze,Evil Geniuses,supamen,viper,1,,,,,,,,,28,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Breeze,Evil Geniuses,Okeanos,kayo,,1,,,,,,,,39,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Breeze,Evil Geniuses,dgzin,neon,5,,,,,1,,,,54,0,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Breeze,Evil Geniuses,bao,harbor,1,,,,,,,,,36,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,All Maps,ENVY,Rossy,"tejo, viper",9,5,2,,1,1,,1,,70,4,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,All Maps,ENVY,keznit,"neon, waylay",10,5,,,2,,1,,,40,1,3
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,All Maps,ENVY,P0PPIN,"fade, sova",5,3,,,,1,,,,53,6,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,All Maps,ENVY,Demon1,"astra, iso, veto",10,2,1,,1,,,,,56,4,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,All Maps,ENVY,Eggsterr,"harbor, omen, veto",4,,,,,,,,,29,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,All Maps,LOUD,Virtyy,"jett, neon, raze",9,2,,,,,,,,52,0,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,All Maps,LOUD,Bati,"kayo, omen",5,2,,,,,,,,41,5,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,All Maps,LOUD,cauanzin,"fade, sova",3,3,,,,,,,,54,10,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,All Maps,LOUD,Darker,"astra, vyse",6,9,4,,,,,,,68,5,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,All Maps,LOUD,lukxo,"chamber, harbor, viper",9,6,4,,1,,2,,,76,0,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Lotus,ENVY,Rossy,viper,6,1,,,,,,,,63,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Lotus,ENVY,keznit,neon,7,1,,,1,,,,,46,1,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Lotus,ENVY,P0PPIN,fade,3,,,,,1,,,,49,2,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Lotus,ENVY,Demon1,veto,5,,,,,,,,,52,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Lotus,ENVY,Eggsterr,omen,2,,,,,,,,,46,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Lotus,LOUD,Virtyy,raze,2,1,,,,,,,,59,0,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Lotus,LOUD,Bati,omen,2,,,,,,,,,30,0,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Lotus,LOUD,cauanzin,fade,,1,,,,,,,,41,4,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Lotus,LOUD,Darker,vyse,2,3,1,,,,,,,60,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Lotus,LOUD,lukxo,viper,3,2,1,,,,1,,,70,0,2
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Pearl,ENVY,Rossy,tejo,2,2,,,1,,,,,53,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Pearl,ENVY,keznit,waylay,3,3,,,1,,1,,,46,0,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Pearl,ENVY,P0PPIN,sova,2,2,,,,,,,,65,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Pearl,ENVY,Demon1,astra,2,1,1,,1,,,,,61,1,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Pearl,ENVY,Eggsterr,veto,1,,,,,,,,,15,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Pearl,LOUD,Virtyy,neon,2,1,,,,,,,,49,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Pearl,LOUD,Bati,kayo,2,,,,,,,,,37,3,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Pearl,LOUD,cauanzin,sova,2,2,,,,,,,,69,2,1
