Tournament,Stage,Match Type,Match Name,Map,Team A,Team A Score,Team A Attacker Score,Team A Defender Score,Team A Overtime Score,Team B,Team B Score,Team B Attacker Score,Team B Defender Score,Team B Overtime Score,Duration
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Lotus,Sentinels,8,4,4,,KRÜ Esports,13,5,8,,56:51
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,Sentinels,9,5,4,,KRÜ Esports,13,6,7,,46:09
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,G2 Esports,8,6,2,,MIBR,13,7,6,,55:46
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,G2 Esports,14,6,6,2,MIBR,16,6,6,4,1:09:00
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,100 Thieves,13,6,7,,Evil Geniuses,8,2,6,,48:56
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Breeze,100 Thieves,13,9,4,,Evil Geniuses,4,1,3,,37:57
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Lotus,ENVY,13,9,4,,LOUD,9,6,3,,55:35
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Pearl,ENVY,11,5,6,,LOUD,13,6,7,,47:29
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Breeze,ENVY,8,4,4,,LOUD,13,5,8,,40:30
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,Pearl,Cloud9,6,4,2,,LEVIATÁN,13,5,8,,46:13
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,Haven,Cloud9,5,4,1,,LEVIATÁN,13,5,8,,37:01
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,Pearl,FURIA,13,8,5,,Mega Minors,7,3,4,,52:59
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,Split,FURIA,13,9,4,,Mega Minors,10,7,3,,52:11
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Split,Cloud9,13,8,5,,ENVY,11,7,4,,1:02:36
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Pearl,Cloud9,5,4,1,,ENVY,13,5,8,,39:48
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Haven,Cloud9,9,4,5,,ENVY,13,5,8,,47:37
VCT 2026: Americas Stage 1,Group Stage,Week 2,FURIA vs Evil Geniuses,Haven,FURIA,12,4,8,0,Evil Geniuses,14,4,8,2,1:05:21
VCT 2026: Americas Stage 1,Group Stage,Week 2,FURIA vs Evil Geniuses,Pearl,FURIA,13,9,4,,Evil Geniuses,5,2,3,,42:22
VCT 2026: Americas Stage 1,Group Stage,Week 2,FURIA vs Evil Geniuses,Lotus,FURIA,13,6,7,,Evil Geniuses,10,4,6,,53:30
VCT 2026: Americas Stage 1,Group Stage,Week 2,G2 Esports vs LEVIATÁN,Breeze,G2 Esports,13,7,6,,LEVIATÁN,6,1,5,,54:35
VCT 2026: Americas Stage 1,Group Stage,Week 2,G2 Esports vs LEVIATÁN,Split,G2 Esports,11,6,5,,LEVIATÁN,13,7,6,,57:03
VCT 2026: Americas Stage 1,Group Stage,Week 2,G2 Esports vs LEVIATÁN,Bind,G2 Esports,12,6,6,0,LEVIATÁN,14,6,6,2,1:00:03
VCT 2026: Americas Stage 1,Group Stage,Week 2,MIBR vs LOUD,Haven,MIBR,13,9,4,,LOUD,10,7,3,,47:07
VCT 2026: Americas Stage 1,Group Stage,Week 2,MIBR vs LOUD,Split,MIBR,13,10,3,,LOUD,4,2,2,,34:10
VCT 2026: Americas Stage 1,Group Stage,Week 2,NRG vs KRÜ Esports,Lotus,Mega Minors,10,5,5,,KRÜ Esports,13,6,7,,1:05:10
VCT 2026: Americas Stage 1,Group Stage,Week 2,NRG vs KRÜ Esports,Split,Mega Minors,8,4,4,,KRÜ Esports,13,5,8,,44:42
VCT 2026: Americas Stage 1,Group Stage,Week 2,100 Thieves vs Sentinels,Haven,100 Thieves,10,5,5,,Sentinels,13,6,7,,53:38
VCT 2026: Americas Stage 1,Group Stage,Week 2,100 Thieves vs Sentinels,Split,100 Thieves,17,8,4,5,Sentinels,19,8,4,7,1:24:41
VCT 2026: Americas Stage 1,Group Stage,Week 3,LEVIATÁN vs ENVY,Bind,LEVIATÁN,13,10,3,,ENVY,4,2,2,,36:46
VCT 2026: Americas Stage 1,Group Stage,Week 3,LEVIATÁN vs ENVY,Fracture,LEVIATÁN,13,9,4,,ENVY,4,1,3,,28:49
VCT 2026: Americas Stage 1,Group Stage,Week 3,G2 Esports vs LOUD,Haven,G2 Esports,13,6,7,,LOUD,9,3,6,,54:41
VCT 2026: Americas Stage 1,Group Stage,Week 3,G2 Esports vs LOUD,Pearl,G2 Esports,13,7,6,,LOUD,10,5,5,,52:04
VCT 2026: Americas Stage 1,Group Stage,Week 3,FURIA vs KRÜ Esports,Lotus,FURIA,4,2,2,,KRÜ Esports,13,3,10,,42:21
VCT 2026: Americas Stage 1,Group Stage,Week 3,FURIA vs KRÜ Esports,Haven,FURIA,10,7,3,,KRÜ Esports,13,8,5,,44:20
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Pearl,Mega Minors,9,3,6,,100 Thieves,13,4,9,,51:21
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Lotus,Mega Minors,13,8,5,,100 Thieves,10,6,4,,52:56
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Breeze,Mega Minors,13,12,1,,100 Thieves,2,2,0,,32:53
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Haven,Evil Geniuses,7,5,2,,Sentinels,13,6,7,,48:50
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Bind,Evil Geniuses,11,5,6,,Sentinels,13,6,7,,57:27
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,Breeze,MIBR,12,5,7,0,Cloud9,14,5,7,2,57:16
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,Split,MIBR,12,6,6,0,Cloud9,14,6,6,2,58:50
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,Fracture,Evil Geniuses,8,3,5,,Mega Minors,13,4,9,,46:51
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,Pearl,Evil Geniuses,9,5,4,,Mega Minors,13,6,7,,53:54
VCT 2026: Americas Stage 1,Group Stage,Week 4,LEVIATÁN vs MIBR,Breeze,LEVIATÁN,10,6,4,,MIBR,13,7,6,,47:58
VCT 2026: Americas Stage 1,Group Stage,Week 4,LEVIATÁN vs MIBR,Haven,LEVIATÁN,10,5,5,,MIBR,13,6,7,,49:23
VCT 2026: Americas Stage 1,Group Stage,Week 4,KRÜ Esports vs 100 Thieves,Bind,KRÜ Esports,4,2,2,,100 Thieves,13,3,10,,42:00
VCT 2026: Americas Stage 1,Group Stage,Week 4,KRÜ Esports vs 100 Thieves,Haven,KRÜ Esports,13,7,6,,100 Thieves,10,5,5,,46:54
VCT 2026: Americas Stage 1,Group Stage,Week 4,KRÜ Esports vs 100 Thieves,Split,KRÜ Esports,6,5,1,,100 Thieves,13,6,7,,42:40
VCT 2026: Americas Stage 1,Group Stage,Week 4,FURIA vs Sentinels,Split,FURIA,13,8,5,,Sentinels,4,0,4,,38:11
VCT 2026: Americas Stage 1,Group Stage,Week 4,FURIA vs Sentinels,Breeze,FURIA,7,2,5,,Sentinels,13,3,10,,43:23
VCT 2026: Americas Stage 1,Group Stage,Week 4,FURIA vs Sentinels,Haven,FURIA,13,7,6,,Sentinels,7,2,5,,41:59
VCT 2026: Americas Stage 1,Group Stage,Week 4,LOUD vs Cloud9,Lotus,LOUD,13,11,2,,Cloud9,1,0,1,,34:35
VCT 2026: Americas Stage 1,Group Stage,Week 4,LOUD vs Cloud9,Split,LOUD,8,3,5,,Cloud9,13,4,9,,47:41
VCT 2026: Americas Stage 1,Group Stage,Week 4,LOUD vs Cloud9,Breeze,LOUD,13,7,6,,Cloud9,11,6,5,,49:47
VCT 2026: Americas Stage 1,Group Stage,Week 4,G2 Esports vs ENVY,Haven,G2 Esports,13,9,4,,ENVY,4,1,3,,41:45
VCT 2026: Americas Stage 1,Group Stage,Week 4,G2 Esports vs ENVY,Lotus,G2 Esports,13,7,6,,ENVY,6,1,5,,37:36
VCT 2026: Americas Stage 1,Group Stage,Week 5,KRÜ Esports vs Evil Geniuses,Haven,KRÜ Esports,11,5,6,,Evil Geniuses,13,6,7,,1:09:25
VCT 2026: Americas Stage 1,Group Stage,Week 5,KRÜ Esports vs Evil Geniuses,Lotus,KRÜ Esports,13,4,9,,Evil Geniuses,11,3,8,,51:33
VCT 2026: Americas Stage 1,Group Stage,Week 5,KRÜ Esports vs Evil Geniuses,Bind,KRÜ Esports,13,7,6,,Evil Geniuses,6,1,5,,39:59
VCT 2026: Americas Stage 1,Group Stage,Week 5,FURIA vs 100 Thieves,Pearl,FURIA,13,5,8,,100 Thieves,9,2,7,,56:13
VCT 2026: Americas Stage 1,Group Stage,Week 5,FURIA vs 100 Thieves,Haven,FURIA,8,4,4,,100 Thieves,13,5,8,,46:29
VCT 2026: Americas Stage 1,Group Stage,Week 5,FURIA vs 100 Thieves,Breeze,FURIA,6,4,2,,100 Thieves,13,5,8,,41:54
VCT 2026: Americas Stage 1,Group Stage,Week 5,G2 Esports vs Cloud9,Lotus,G2 Esports,13,8,5,,Cloud9,6,2,4,,54:15
VCT 2026: Americas Stage 1,Group Stage,Week 5,G2 Esports vs Cloud9,Split,G2 Esports,13,8,5,,Cloud9,9,5,4,,53:47
VCT 2026: Americas Stage 1,Group Stage,Week 5,ENVY vs MIBR,Haven,ENVY,13,11,2,,MIBR,1,0,1,,29:27
VCT 2026: Americas Stage 1,Group Stage,Week 5,ENVY vs MIBR,Bind,ENVY,13,9,4,,MIBR,3,0,3,,32:48
VCT 2026: Americas Stage 1,Group Stage,Week 5,LOUD vs LEVIATÁN,Bind,LOUD,3,3,0,,LEVIATÁN,13,4,9,,47:08
VCT 2026: Americas Stage 1,Group Stage,Week 5,LOUD vs LEVIATÁN,Breeze,LOUD,14,4,8,2,LEVIATÁN,12,4,8,0,54:30
VCT 2026: Americas Stage 1,Group Stage,Week 5,LOUD vs LEVIATÁN,Haven,LOUD,13,3,10,,LEVIATÁN,10,1,9,,48:40
VCT 2026: Americas Stage 1,Group Stage,Week 5,Sentinels vs NRG,Fracture,Sentinels,11,8,3,,Mega Minors,13,9,4,,59:24
VCT 2026: Americas Stage 1,Group Stage,Week 5,Sentinels vs NRG,Breeze,Sentinels,13,9,4,,Mega Minors,11,8,3,,54:00
VCT 2026: Americas Stage 1,Group Stage,Week 5,Sentinels vs NRG,Lotus,Sentinels,10,7,3,,Mega Minors,13,8,5,,1:15:05
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,FURIA vs LEVIATÁN,Breeze,FURIA,13,7,6,,LEVIATÁN,8,3,5,,57:08
