Tournament,Stage,Match Type,Match Name,Team A,Team B,Team A Score,Team B Score,Match Result
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Sentinels,KRÜ Esports,0,2,KRÜ Esports won
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,G2 Esports,MIBR,0,2,MIBR won
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,100 Thieves,Evil Geniuses,2,0,100 Thieves won
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,ENVY,LOUD,1,2,LOUD won
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,Cloud9,LEVIATÁN,0,2,LEVIATÁN won
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,FURIA,Mega Minors,2,0,FURIA won
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Cloud9,ENVY,1,2,ENVY won
VCT 2026: Americas Stage 1,Group Stage,Week 2,FURIA vs Evil Geniuses,FURIA,Evil Geniuses,2,1,FURIA won
VCT 2026: Americas Stage 1,Group Stage,Week 2,G2 Esports vs LEVIATÁN,G2 Esports,LEVIATÁN,1,2,LEVIATÁN won
VCT 2026: Americas Stage 1,Group Stage,Week 2,MIBR vs LOUD,MIBR,LOUD,2,0,MIBR won
VCT 2026: Americas Stage 1,Group Stage,Week 2,NRG vs KRÜ Esports,Mega Minors,KRÜ Esports,0,2,KRÜ Esports won
VCT 2026: Americas Stage 1,Group Stage,Week 2,100 Thieves vs Sentinels,100 Thieves,Sentinels,0,2,Sentinels won
VCT 2026: Americas Stage 1,Group Stage,Week 3,LEVIATÁN vs ENVY,LEVIATÁN,ENVY,2,0,LEVIATÁN won
VCT 2026: Americas Stage 1,Group Stage,Week 3,G2 Esports vs LOUD,G2 Esports,LOUD,2,0,G2 Esports won
VCT 2026: Americas Stage 1,Group Stage,Week 3,FURIA vs KRÜ Esports,FURIA,KRÜ Esports,0,2,KRÜ Esports won
VCT 2026: Americas Stage 1,Group Stage,Week 3,NRG vs 100 Thieves,Mega Minors,100 Thieves,2,1,NRG won
VCT 2026: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Evil Geniuses,Sentinels,0,2,Sentinels won
VCT 2026: Americas Stage 1,Group Stage,Week 3,MIBR vs Cloud9,MIBR,Cloud9,0,2,Cloud9 won
VCT 2026: Americas Stage 1,Group Stage,Week 4,Evil Geniuses vs NRG,Evil Geniuses,Mega Minors,0,2,NRG won
VCT 2026: Americas Stage 1,Group Stage,Week 4,LEVIATÁN vs MIBR,LEVIATÁN,MIBR,0,2,MIBR won
VCT 2026: Americas Stage 1,Group Stage,Week 4,KRÜ Esports vs 100 Thieves,KRÜ Esports,100 Thieves,1,2,100 Thieves won
VCT 2026: Americas Stage 1,Group Stage,Week 4,FURIA vs Sentinels,FURIA,Sentinels,2,1,FURIA won
VCT 2026: Americas Stage 1,Group Stage,Week 4,LOUD vs Cloud9,LOUD,Cloud9,2,1,LOUD won
VCT 2026: Americas Stage 1,Group Stage,Week 4,G2 Esports vs ENVY,G2 Esports,ENVY,2,0,G2 Esports won
VCT 2026: Americas Stage 1,Group Stage,Week 5,KRÜ Esports vs Evil Geniuses,KRÜ Esports,Evil Geniuses,2,1,KRÜ Esports won
VCT 2026: Americas Stage 1,Group Stage,Week 5,FURIA vs 100 Thieves,FURIA,100 Thieves,1,2,100 Thieves won
VCT 2026: Americas Stage 1,Group Stage,Week 5,G2 Esports vs Cloud9,G2 Esports,Cloud9,2,0,G2 Esports won
VCT 2026: Americas Stage 1,Group Stage,Week 5,ENVY vs MIBR,ENVY,MIBR,2,0,ENVY won
VCT 2026: Americas Stage 1,Group Stage,Week 5,LOUD vs LEVIATÁN,LOUD,LEVIATÁN,2,1,LOUD won
VCT 2026: Americas Stage 1,Group Stage,Week 5,Sentinels vs NRG,Sentinels,Mega Minors,1,2,NRG won
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,FURIA vs LEVIATÁN,FURIA,LEVIATÁN,1,2,LEVIATÁN won
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,G2 Esports vs 100 Thieves,G2 Esports,100 Thieves,2,0,G2 Esports won
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,MIBR vs LEVIATÁN,MIBR,LEVIATÁN,1,2,LEVIATÁN won
