Tournament,Stage,Match Type,Match Name,Map,Team,Elimination,Detonated,Defused,Time Expiry (No Plant),Eliminated,Defused Failed,Detonation Denied,Time Expiry (Failed to Plant)
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Lotus,Sentinels,6,0,1,1,10,0,2,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Lotus,KRÜ Esports,10,0,2,1,6,0,1,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,Sentinels,5,2,1,1,8,1,4,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,Sentinels vs KRÜ Esports,Breeze,KRÜ Esports,8,1,4,0,5,2,1,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,G2 Esports,6,0,2,0,9,2,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Lotus,MIBR,9,2,2,0,6,0,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,G2 Esports,10,1,2,1,13,0,3,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,G2 Esports vs MIBR,Split,MIBR,13,0,3,0,10,1,2,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,100 Thieves,5,4,4,0,5,0,3,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Haven,Evil Geniuses,5,0,3,0,5,4,4,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Breeze,100 Thieves,11,0,2,0,2,0,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,100 Thieves vs Evil Geniuses,Breeze,Evil Geniuses,2,0,2,0,11,0,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Lotus,ENVY,10,0,3,0,5,0,4,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Lotus,LOUD,5,0,4,0,10,0,3,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Pearl,ENVY,8,1,2,0,10,1,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Pearl,LOUD,10,1,2,0,8,1,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Breeze,ENVY,6,0,2,0,12,1,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,ENVY vs LOUD,Breeze,LOUD,12,1,0,0,6,0,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,Pearl,Cloud9,4,0,2,0,10,1,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,Pearl,LEVIATÁN,10,1,2,0,4,0,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,Haven,Cloud9,3,1,1,0,6,2,4,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,Cloud9 vs LEVIATÁN,Haven,LEVIATÁN,6,2,4,1,3,1,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,Pearl,FURIA,6,3,4,0,3,2,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,Pearl,Mega Minors,3,2,2,0,6,3,4,0
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,Split,FURIA,7,0,5,1,6,0,3,1
VCT 2026: Americas Stage 1,Group Stage,Week 1,FURIA vs NRG,Split,Mega Minors,6,0,3,1,7,0,5,1
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Split,Cloud9,11,1,1,0,7,2,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Split,ENVY,7,2,2,0,11,1,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Pearl,Cloud9,4,0,0,1,8,0,3,2
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Pearl,ENVY,8,0,3,2,4,0,0,1
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Haven,Cloud9,3,2,4,0,10,1,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 2,Cloud9 vs ENVY,Haven,ENVY,10,1,2,0,3,2,4,0
VCT 2026: Americas Stage 1,Group Stage,Week 2,FURIA vs Evil Geniuses,Haven,FURIA,6,2,4,0,9,2,3,0
VCT 2026: Americas Stage 1,Group Stage,Week 2,FURIA vs Evil Geniuses,Haven,Evil Geniuses,9,2,3,0,6,2,4,0
VCT 2026: Americas Stage 1,Group Stage,Week 2,FURIA vs Evil Geniuses,Pearl,FURIA,10,2,1,0,3,0,2,0
VCT 2026: Americas Stage 1,Group Stage,Week 2,FURIA vs Evil Geniuses,Pearl,Evil Geniuses,3,0,2,0,10,2,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 2,FURIA vs Evil Geniuses,Lotus,FURIA,9,0,3,1,6,0,4,0
VCT 2026: Americas Stage 1,Group Stage,Week 2,FURIA vs Evil Geniuses,Lotus,Evil Geniuses,6,0,4,0,9,0,3,1
VCT 2026: Americas Stage 1,Group Stage,Week 2,G2 Esports vs LEVIATÁN,Breeze,G2 Esports,7,1,5,0,2,3,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 2,G2 Esports vs LEVIATÁN,Breeze,LEVIATÁN,2,3,1,0,7,1,5,0
VCT 2026: Americas Stage 1,Group Stage,Week 2,G2 Esports vs LEVIATÁN,Split,G2 Esports,4,3,3,1,9,0,4,0
VCT 2026: Americas Stage 1,Group Stage,Week 2,G2 Esports vs LEVIATÁN,Split,LEVIATÁN,9,0,4,0,4,3,3,1
VCT 2026: Americas Stage 1,Group Stage,Week 2,G2 Esports vs LEVIATÁN,Bind,G2 Esports,8,1,3,0,8,1,5,0
VCT 2026: Americas Stage 1,Group Stage,Week 2,G2 Esports vs LEVIATÁN,Bind,LEVIATÁN,8,1,5,0,8,1,3,0
VCT 2026: Americas Stage 1,Group Stage,Week 2,MIBR vs LOUD,Haven,MIBR,8,1,4,0,6,1,3,0
VCT 2026: Americas Stage 1,Group Stage,Week 2,MIBR vs LOUD,Haven,LOUD,6,1,3,0,8,1,4,0
VCT 2026: Americas Stage 1,Group Stage,Week 2,MIBR vs LOUD,Split,MIBR,8,5,0,0,3,0,1,0
VCT 2026: Americas Stage 1,Group Stage,Week 2,MIBR vs LOUD,Split,LOUD,3,0,1,0,8,5,0,0
VCT 2026: Americas Stage 1,Group Stage,Week 2,NRG vs KRÜ Esports,Lotus,Mega Minors,4,2,4,0,8,1,4,0
VCT 2026: Americas Stage 1,Group Stage,Week 2,NRG vs KRÜ Esports,Lotus,KRÜ Esports,8,1,4,0,4,2,4,0
VCT 2026: Americas Stage 1,Group Stage,Week 2,NRG vs KRÜ Esports,Split,Mega Minors,6,2,0,0,7,3,3,0
VCT 2026: Americas Stage 1,Group Stage,Week 2,NRG vs KRÜ Esports,Split,KRÜ Esports,7,3,3,0,6,2,0,0
